word,score
much,0.935
president,0.737
different,0.718
things,0.653
every,0.611
whether,0.605
deal,0.598
get,0.593
little,0.573
post,0.557
you're,0.556
another,0.544
remember,0.487
party,0.447
believe,0.443
nice,0.441
international,0.44
heart,0.439
late,0.423
against,0.405
first,0.403
he's,0.401
next,0.38
under,0.377
almost,0.376
might,0.371
history,0.371
may,0.361
where,0.35
we,0.346
came,0.345
cause,0.34
understand,0.338
including,0.337
morning,0.333
getting,0.33
stay,0.326
minutes,0.323
play,0.317
group,0.311
university,0.309
bit,0.303
always,0.302
side,0.3
fuck,0.299
services,0.296
turn,0.295
states,0.293
m,0.293
she,0.292
development,0.291
too,0.29
really,0.285
between,0.285
this,0.284
number,0.278
story,0.275
i'm,0.273
following,0.272
yourself,0.271
i'll,0.27
very,0.266
ago,0.266
community,0.266
comes,0.264
although,0.261
well,0.259
maybe,0.259
pretty,0.257
many,0.256
children,0.253
known,0.252
should,0.252
how,0.252
large,0.249
an,0.249
check,0.249
control,0.246
taken,0.246
doesn't,0.246
over,0.245
kind,0.244
business,0.244
asked,0.243
information,0.243
close,0.242
rather,0.242
i've,0.241
white,0.241
looks,0.24
full,0.24
young,0.239
local,0.237
death,0.232
friend,0.232
people,0.232
saying,0.231
further,0.227
were,0.227
since,0.222
making,0.222
my,0.222
else,0.221
girl,0.22
wait,0.219
home,0.218
great,0.213
we're,0.213
united,0.212
year,0.207
left,0.206
without,0.206
bad,0.204
someone,0.203
country,0.203
everything,0.202
house,0.202
at,0.202
their,0.202
hard,0.202
news,0.201
research,0.201
mind,0.199
today,0.198
now,0.197
second,0.196
her,0.195
world,0.195
again,0.195
question,0.194
times,0.193
told,0.193
season,0.193
others,0.192
you,0.192
problem,0.189
those,0.189
i,0.188
his,0.187
government,0.187
which,0.187
sure,0.187
woman,0.187
better,0.187
though,0.185
mr,0.183
system,0.183
taking,0.181
said,0.181
along,0.181
fucking,0.181
become,0.181
food,0.18
but,0.18
book,0.179
however,0.178
buy,0.178
while,0.177
both,0.177
fact,0.177
american,0.177
due,0.176
thanks,0.175
together,0.175
yet,0.173
probably,0.173
based,0.172
actually,0.172
keep,0.17
myself,0.17
didn't,0.169
during,0.167
thank,0.167
is,0.166
health,0.164
see,0.164
thought,0.163
please,0.162
feel,0.162
man,0.162
room,0.161
what,0.161
could,0.161
new,0.161
area,0.16
men,0.16
third,0.16
five,0.16
can't,0.16
isn't,0.158
u.s,0.158
god,0.157
early,0.156
anyone,0.155
would,0.155
been,0.155
b,0.155
days,0.154
than,0.153
past,0.153
support,0.153
here,0.153
several,0.152
why,0.152
our,0.151
far,0.151
class,0.151
music,0.15
makes,0.15
away,0.15
only,0.149
done,0.147
family,0.147
high,0.145
hope,0.145
c,0.145
change,0.145
talk,0.144
doing,0.143
name,0.143
half,0.143
anything,0.142
having,0.142
call,0.141
it's,0.14
single,0.139
light,0.139
everyone,0.138
special,0.138
whole,0.138
true,0.137
possible,0.137
that's,0.136
give,0.136
company,0.135
black,0.135
child,0.134
life,0.134
million,0.134
court,0.132
looking,0.132
until,0.132
got,0.132
age,0.131
two,0.131
then,0.131
general,0.13
hours,0.13
